"Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","x3PAr","TSp","eFGp","TOVp","ORBp","FT/FGA","DRBp","G","MP","FG","FGA","FGp","x3P","x3PA","x3Pp","x2P","x2PA","x2Pp","FT","FTA","FTp","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","MP_per_game","FG_per_game","FGA_per_game","x3P_per_game","x3PA_per_game","x2P_per_game","x2PA_per_game","FT_per_game","FTA_per_game","ORB_per_game","DRB_per_game","TRB_per_game","AST_per_game","STL_per_game","BLK_per_game","TOV_per_game","PF_per_game","PTS_per_game"
"1","Milwaukee Bucks",26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,80.3,82,19780,3555,7471,0.476,1105,3134,0.353,2450,4337,0.565,1471,1904,0.773,762,3316,4078,2136,615,486,1137,1608,9686,241.22,43.354,91.11,13.476,38.22,29.878,52.89,17.939,23.22,9.293,40.439,49.732,26.049,7.5,5.927,13.866,19.61,118.122
"2","Golden State Warriors",28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,77.1,82,19805,3612,7361,0.491,1087,2824,0.385,2525,4537,0.557,1339,1672,0.801,797,2990,3787,2413,625,525,1169,1757,9650,241.524,44.049,89.768,13.256,34.439,30.793,55.329,16.329,20.39,9.72,36.463,46.183,29.427,7.622,6.402,14.256,21.427,117.683
"3","Toronto Raptors",27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,77.1,82,19880,3460,7305,0.474,1015,2771,0.366,2445,4534,0.539,1449,1803,0.804,786,2920,3706,2085,680,437,1150,1724,9384,242.439,42.195,89.085,12.378,33.793,29.817,55.293,17.671,21.988,9.585,35.61,45.195,25.427,8.293,5.329,14.024,21.024,114.439
"4","Utah Jazz",27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,80.3,82,19755,3314,7082,0.468,993,2789,0.356,2321,4293,0.541,1540,2092,0.736,820,2981,3801,2133,663,483,1240,1728,9161,240.915,40.415,86.366,12.11,34.012,28.305,52.354,18.78,25.512,10,36.354,46.354,26.012,8.085,5.89,15.122,21.073,111.72
"5","Houston Rockets",29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,74.4,82,19830,3218,7163,0.449,1323,3721,0.356,1895,3442,0.551,1582,2001,0.791,836,2613,3449,1741,700,405,1094,1803,9341,241.829,39.244,87.354,16.134,45.378,23.11,41.976,19.293,24.402,10.195,31.866,42.061,21.232,8.537,4.939,13.341,21.988,113.915
"6","Portland Trail Blazers",26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,77.9,82,19855,3470,7427,0.467,904,2520,0.359,2566,4907,0.523,1558,1914,0.814,967,2968,3935,1887,546,413,1135,1669,9402,242.134,42.317,90.573,11.024,30.732,31.293,59.841,19,23.341,11.793,36.195,47.988,23.012,6.659,5.037,13.841,20.354,114.659
"7","Denver Nuggets",24.9,54,28,51,31,3.95,0.24,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,78,82,19730,3439,7384,0.466,903,2571,0.351,2536,4813,0.527,1294,1714,0.755,972,2832,3804,2245,634,363,1102,1644,9075,240.61,41.939,90.049,11.012,31.354,30.927,58.695,15.78,20.902,11.854,34.537,46.39,27.378,7.732,4.427,13.439,20.049,110.671
"8","Boston Celtics",25.7,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,77,82,19780,3451,7423,0.465,1032,2829,0.365,2419,4594,0.527,1282,1598,0.802,804,2849,3653,2155,706,435,1052,1670,9216,241.22,42.085,90.524,12.585,34.5,29.5,56.024,15.634,19.488,9.805,34.744,44.549,26.28,8.61,5.305,12.829,20.366,112.39
"9","Oklahoma City Thunder",25.7,49,33,50,32,3.4,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,78.2,82,19855,3497,7706,0.454,932,2677,0.348,2565,5029,0.51,1461,2049,0.713,1031,2911,3942,1917,766,425,1145,1839,9387,242.134,42.646,93.976,11.366,32.646,31.28,61.329,17.817,24.988,12.573,35.5,48.073,23.378,9.341,5.183,13.963,22.427,114.476
"10","Indiana Pacers",27,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,76.2,82,19705,3390,7135,0.475,779,2081,0.374,2611,5054,0.517,1298,1727,0.752,762,2766,3528,2128,713,404,1122,1594,8857,240.305,41.341,87.012,9.5,25.378,31.841,61.634,15.829,21.061,9.293,33.732,43.024,25.951,8.695,4.927,13.683,19.439,108.012
"11","Philadelphia 76ers",26.4,51,31,48,34,2.7,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,78.6,82,19805,3407,7233,0.471,889,2474,0.359,2518,4759,0.529,1742,2258,0.771,892,3025,3917,2207,606,432,1223,1745,9445,241.524,41.549,88.207,10.841,30.171,30.707,58.037,21.244,27.537,10.878,36.89,47.768,26.915,7.39,5.268,14.915,21.28,115.183
"12","San Antonio Spurs",28.8,48,34,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11,21,0.194,79.4,82,19805,3468,7248,0.478,812,2071,0.392,2656,5177,0.513,1408,1720,0.819,757,2910,3667,2013,501,386,992,1487,9156,241.524,42.293,88.39,9.902,25.256,32.39,63.134,17.171,20.976,9.232,35.488,44.72,24.549,6.11,4.707,12.098,18.134,111.659
"13","Los Angeles Clippers",27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,76,82,19830,3384,7178,0.471,821,2118,0.388,2563,5060,0.507,1853,2340,0.792,796,2936,3732,1970,561,385,1193,1913,9442,241.829,41.268,87.537,10.012,25.829,31.256,61.707,22.598,28.537,9.707,35.805,45.512,24.024,6.841,4.695,14.549,23.329,115.146
"14","Orlando Magic",25.7,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22,0.168,79.7,82,19780,3316,7307,0.454,937,2633,0.356,2379,4674,0.509,1231,1575,0.782,822,2902,3724,2095,543,445,1082,1526,8800,241.22,40.439,89.11,11.427,32.11,29.012,57,15.012,19.207,10.024,35.39,45.415,25.549,6.622,5.427,13.195,18.61,107.317
"15","Brooklyn Nets",25.4,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13,23.8,0.211,76.4,82,19980,3301,7358,0.449,1047,2965,0.353,2254,4393,0.513,1555,2088,0.745,900,2919,3819,1954,539,339,1236,1763,9204,243.659,40.256,89.732,12.768,36.159,27.488,53.573,18.963,25.463,10.976,35.598,46.573,23.829,6.573,4.134,15.073,21.5,112.244
"16","Miami Heat",27,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,77.6,82,19730,3251,7218,0.45,928,2658,0.349,2323,4560,0.509,1238,1782,0.695,921,2879,3800,1991,627,448,1208,1712,8668,240.61,39.646,88.024,11.317,32.415,28.329,55.61,15.098,21.732,11.232,35.11,46.341,24.28,7.646,5.463,14.732,20.878,105.707
"17","Detroit Pistons",26.9,41,41,40,42,-0.24,-0.31,-0.56,109,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,78.7,82,19855,3185,7238,0.44,993,2854,0.348,2192,4384,0.5,1415,1893,0.747,936,2752,3688,1845,569,331,1135,1811,8778,242.134,38.841,88.268,12.11,34.805,26.732,53.463,17.256,23.085,11.415,33.561,44.976,22.5,6.939,4.037,13.841,22.085,107.049
"18","Sacramento Kings",24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,75.5,82,19730,3541,7637,0.464,927,2455,0.378,2614,5182,0.504,1354,1865,0.726,906,2819,3725,2083,679,363,1095,1751,9363,240.61,43.183,93.134,11.305,29.939,31.878,63.195,16.512,22.744,11.049,34.378,45.427,25.402,8.28,4.427,13.354,21.354,114.183
"19","Dallas Mavericks",26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99,0.291,0.422,0.555,0.519,12.7,22.7,0.216,77.5,82,19780,3182,7122,0.447,1022,3002,0.34,2160,4120,0.524,1541,2076,0.742,832,2884,3716,1918,533,351,1167,1650,8927,241.22,38.805,86.854,12.463,36.61,26.341,50.244,18.793,25.317,10.146,35.171,45.317,23.39,6.5,4.28,14.232,20.122,108.866
"20","Minnesota Timberwolves",26.2,36,46,37,45,-1.5,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,74.9,82,19830,3413,7483,0.456,827,2357,0.351,2586,5126,0.504,1570,1995,0.787,923,2750,3673,2018,683,411,1074,1664,9223,241.829,41.622,91.256,10.085,28.744,31.537,62.512,19.146,24.329,11.256,33.537,44.793,24.61,8.329,5.012,13.098,20.293,112.476
"21","New Orleans Pelicans",25.7,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,76.8,82,19755,3581,7563,0.473,842,2449,0.344,2739,5114,0.536,1462,1921,0.761,909,2969,3878,2216,610,441,1215,1732,9466,240.915,43.671,92.232,10.268,29.866,33.402,62.366,17.829,23.427,11.085,36.207,47.293,27.024,7.439,5.378,14.817,21.122,115.439
"22","Charlotte Hornets",26.6,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,77.1,82,19830,3297,7362,0.448,977,2783,0.351,2320,4579,0.507,1510,1895,0.797,814,2778,3592,1905,591,405,1001,1550,9081,241.829,40.207,89.78,11.915,33.939,28.293,55.841,18.415,23.11,9.927,33.878,43.805,23.232,7.207,4.939,12.207,18.902,110.744
"23","Los Angeles Lakers",26.2,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,76.4,82,19780,3491,7425,0.47,847,2541,0.333,2644,4884,0.541,1336,1910,0.699,835,2985,3820,2096,618,440,1284,1701,9165,241.22,42.573,90.549,10.329,30.988,32.244,59.561,16.293,23.293,10.183,36.402,46.585,25.561,7.537,5.366,15.659,20.744,111.768
"24","Memphis Grizzlies",27.7,33,49,34,48,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,0.508,12.9,20,0.21,77.6,82,19880,3113,6924,0.45,811,2368,0.342,2302,4556,0.505,1453,1882,0.772,723,2703,3426,1963,684,448,1147,1801,8490,242.439,37.963,84.439,9.89,28.878,28.073,55.561,17.72,22.951,8.817,32.963,41.78,23.939,8.341,5.463,13.988,21.963,103.537
"25","Washington Wizards",26.5,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.204,74.1,82,19930,3456,7387,0.468,930,2731,0.341,2526,4656,0.543,1508,1963,0.768,794,2679,3473,2154,683,379,1154,1701,9350,243.049,42.146,90.085,11.341,33.305,30.805,56.78,18.39,23.939,9.683,32.671,42.354,26.268,8.329,4.622,14.073,20.744,114.024
"26","Atlanta Hawks",25.1,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,76.4,82,19855,3392,7524,0.451,1067,3034,0.352,2325,4490,0.518,1443,1918,0.752,955,2825,3780,2118,675,419,1397,1932,9294,242.134,41.366,91.756,13.012,37,28.354,54.756,17.598,23.39,11.646,34.451,46.098,25.829,8.232,5.11,17.037,23.561,113.341
"27","Chicago Bulls",24,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99,0.235,0.295,0.541,0.505,12.7,19.4,0.184,77.3,82,19905,3266,7205,0.453,745,2123,0.351,2521,5082,0.496,1328,1695,0.783,718,2799,3517,1796,603,351,1159,1663,8605,242.744,39.829,87.866,9.085,25.89,30.744,61.976,16.195,20.671,8.756,34.134,42.89,21.902,7.354,4.28,14.134,20.28,104.939
"28","Phoenix Suns",24,19,63,19,63,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.202,72.5,82,19880,3289,7164,0.459,790,2400,0.329,2499,4764,0.525,1447,1858,0.779,748,2563,3311,1957,735,418,1279,1932,8815,242.439,40.11,87.366,9.634,29.268,30.476,58.098,17.646,22.659,9.122,31.256,40.378,23.866,8.963,5.098,15.598,23.561,107.5
"29","New York Knicks",23.4,17,65,19,63,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,0.49,12.4,22.1,0.205,76.1,82,19780,3134,7241,0.433,823,2421,0.34,2311,4820,0.479,1484,1956,0.759,857,2811,3668,1646,557,422,1151,1713,8575,241.22,38.22,88.305,10.037,29.524,28.183,58.78,18.098,23.854,10.451,34.28,44.732,20.073,6.793,5.146,14.037,20.89,104.573
"30","Cleveland Cavaliers",25.2,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,77,82,19755,3189,7184,0.444,847,2388,0.355,2342,4796,0.488,1342,1694,0.792,879,2619,3498,1698,534,195,1106,1642,8567,240.915,38.89,87.61,10.329,29.122,28.561,58.488,16.366,20.659,10.72,31.939,42.659,20.707,6.512,2.378,13.488,20.024,104.476
